TminJJA_mean_69_75	TminSO_mean_69_75	TminDJ_mean_65_75	TminDJ_mean_60_75	TminJF_mean_54_75	TminND_mean_54_75
-50.8	-43.5	-0.8	3.4	7.1	4.4
-45.7	-39.2	-1.1	3.5	5.6	4.1
-44.9	-46.8	-0.9	3.8	6.2	4.1
-47.9	-53.1	0.0	4.1	6.8	5.2
-41.8	-49.2	-1.0	4.4	5.4	5.1
-43.7	-53.5	-0.7	2.8	5.7	4.8
-48.6	-45.2	-0.5	3.6	7.5	5.3
-43.2	-50.8	-1.3	2.4	5.6	3.4
-52.8	-48.7	-1.1	3.0	5.8	5.3
-38.5	-31.9	-0.2	3.9	6.6	4.9
-34.5	-31.4	0.1	3.7	6.7	5.2
-42.0	-47.8	0.6	3.5	7.6	3.4
-47.7	-32.9	-1.0	3.2	5.8	4.0
-43.6	-44.1	-0.2	4.8	5.7	4.9
-42.4	-38.8	-0.6	3.3	6.8	3.9
-47.7	-45.2	-0.5	3.6	6.4	5.2
-37.3	-40.2	-0.5	3.8	6.9	3.7
-41.5	-34.9	-1.3	3.1	5.4	3.7
-44.4	-39.2	0.1	3.0	5.1	5.3
-34.5	-36.9	-1.1	2.7	6.5	4.7
-37.1	-36.1	-1.0	2.4	5.2	4.1
-32.7	-40.8	-1.4	2.3	4.7	4.5
-37.8	-40.0	-1.3	2.5	5.7	3.4
-39.1	-35.2	-1.0	2.8	5.1	5.0
-28.8	-38.6	-2.7	2.4	5.8	3.5
-38.0	-33.0	-1.9	2.0	6.1	4.0
-43.8	-37.8	-2.8	1.9	6.3	3.6
-37.0	-26.7	-0.6	3.0	5.6	3.3
-32.6	-30.2	-1.1	3.0	5.6	3.6
-33.4	-28.1	-1.8	2.2	5.5	3.2
-40.1	-38.3	-2.0	2.0	5.4	2.2
-37.3	-34.5	-2.3	1.0	5.3	2.2
-33.7	-45.3	-1.3	2.6	4.4	3.3
-38.0	-43.5	-2.1	1.9	4.4	3.1
-41.7	-46.3	-2.8	2.6	6.3	2.9
-39.0	-32.1	-2.6	1.9	4.4	3.9
-40.0	-36.3	-1.8	1.3	5.9	2.8
-39.6	-27.8	-1.4	1.9	5.6	3.9
-37.2	-38.7	-1.2	2.3	5.7	4.4
-41.2	-31.0	-1.9	1.9	5.3	3.5
-35.1	-35.3	-0.7	2.4	5.1	4.2
-34.4	-34.8	-0.8	3.2	5.6	4.0

